Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Unit Price Total Measure,Unit Price Total Measure Unit,Unit Price Base Measure,Unit Price Base Measure Unit,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Color (product.metafields.shopify.color-pattern),Theme (product.metafields.shopify.theme),Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Included / United States,Price / United States,Compare At Price / United States,Included / Canada,Price / Canada,Compare At Price / Canada,Included / International,Price / International,Compare At Price / International,Included / Japan,Price / Japan,Compare At Price / Japan,Included / United Kingdom,Price / United Kingdom,Compare At Price / United Kingdom,Status
art-print-1,Heart of Light: Eternal Spectrum,"<p class=""p1"">Unlock the radiance of <span class=""s1""><b>light and infinity</b></span> with <span class=""s1""><b>“Heart of Light: Eternal Spectrum,”</b></span> a breathtaking fusion of color, energy, and emotion. Inspired by the <span class=""s1""><b>timeless battle between light and darkness</b></span>, this piece embodies the <span class=""s1""><b>eternal spectrum of the heart</b></span>, glowing with a celestial aura reminiscent of <span class=""s1""><b>Kingdom Hearts’ ethereal worlds</b></span>.</p>
<p class=""p2""><br></p>
<p class=""p1"">This artwork is available in <span class=""s1""><b>two premium print options</b></span>:</p>
<p class=""p1"">✨ <span class=""s1""><b>Poster Print</b></span> – A vibrant, high-quality print perfect for casual display.</p>
<p class=""p1"">✨ <span class=""s1""><b>Fine Art Print</b></span> – Printed on <span class=""s1""><b>museum-grade archival paper</b></span>, offering enhanced depth, richness, and longevity for collectors.</p>
<p class=""p2""><br></p>
<p class=""p3""><b>Limited Edition Stock:</b><b></b></p>
<p class=""p1"">🖼 <span class=""s1""><b>777 Poster Prints</b></span> – Everyday accessibility with high-end quality.</p>
<p class=""p1"">🎨 <span class=""s1""><b>77 Fine Art Prints</b></span> – A more exclusive, premium-grade offering.</p>",SuperSpec Store,Arts & Entertainment,Art Print,"art, limited edition, print",true,Size,"12"" x 12"" Poster Print",,,,,,,,Poster PRINT-8.5x11-1,199.988875933,shopify,deny,manual,25.00,20.00,true,true,,,,,"",https://cdn.shopify.com/s/files/1/0578/2847/5068/files/Heartinfinityfinal2.jpg?v=1738392228,1,"",false,,,,,,lb,,15.00,true,,,true,,,true,,,true,,,true,,,active
art-print-1,,,,,,,,,"12""x 12"" Framed Art Print",,,,,,,,Fine Art PRINT-8.5x11-1,199.988875933,shopify,deny,manual,35.00,30.00,true,true,,,,,"",,,,,,,,,,lb,,15.00,,,,,,,,,,,,,,,,
art-print-1,,,,,,,,,"14"" x 14"" Framed Art Print",,,,,,,,"",199.988875933,shopify,deny,manual,40.00,45.00,true,true,,,,,"",,,,,,,,,,lb,,15.00,,,,,,,,,,,,,,,,
art-print-1,,,,,,,,,"12"" x 12"" Metal print",,,,,,,,,199.988875933,shopify,deny,manual,55.00,20.00,true,true,,,,,"",,,,,,,,,,lb,,15.00,,,,,,,,,,,,,,,,
aura-farewell-to-the-past,Aura: Farewell to the past,"<p><meta charset=""utf-8""><span>Lost pieces of my soul to the cold, but my aura? Still glowing, still untouchable. Shadows tried to claim me, but I move different—SUPER by design, magic by destiny. ✨🖤 </span></p>",SUPER Spec. ,Arts & Entertainment,"","",true,Size,"12"" x 12"" Poster Print",,,,,,,,"",0.0,shopify,continue,manual,15.00,,true,true,,,,,"",https://cdn.shopify.com/s/files/1/0578/2847/5068/files/eZyWatermark_19-01-2025_12-08-32-0620PM.jpg?v=1747029754,1,"",false,,,,,,lb,,,true,,,true,,,true,,,true,,,true,,,active
aura-farewell-to-the-past,,,,,,,,,"12""x 12"" Framed Art Print",,,,,,,,"",0.0,shopify,continue,manual,25.00,,true,true,,,,,"",,,,,,,,,,lb,,,,,,,,,,,,,,,,,,
aura-farewell-to-the-past,,,,,,,,,"14"" x 14"" Framed Art Print",,,,,,,,"",0.0,shopify,continue,manual,30.00,,true,true,,,,,"",,,,,,,,,,lb,,,,,,,,,,,,,,,,,,
aura-farewell-to-the-past,,,,,,,,,"12"" x 12"" Metal print",,,,,,,,"",0.0,shopify,continue,manual,50.00,,true,true,,,,,"",,,,,,,,,,lb,,,,,,,,,,,,,,,,,,
aura-farm-drawn-power-copy,Eyes That Measure,"<p dir=""ltr""><span>The serpent doesn't judge, it registers.</span></p>
<p dir=""ltr""><span>It watches, absorbs, waits.</span></p>
<p dir=""ltr""><span>Those ancient eyes hold a different kind of knowing<br>they measure depth, not distance. What feels like judgment is simply recognition. The snake sees what we hide from ourselves.</span></p>
<p><br></p>
<p dir=""ltr""><span>In that steady gaze lives an ancient protection not from the world, but from our own illusions.</span></p>",SUPER Spec.,Arts & Entertainment,"","",true,Size,"8.5"" x 11"" Poster Print",,,,,,,,,0.0,shopify,deny,manual,15.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0578/2847/5068/files/266861E4-0C2C-4907-A092-B848A93ADD96.jpg?v=1749615839,1,"",false,,,multicolor,spirituality,,lb,,,true,,,true,,,true,,,true,,,true,,,active
aura-farm-drawn-power-copy,,,,,,,,,"8.5""x 11"" Framed Art Print",,,,,,,,,0.0,shopify,deny,manual,25.00,,true,true,,,,,,,,,,,,,,,lb,,,,,,,,,,,,,,,,,,
aura-farm-drawn-power-copy,,,,,,,,,"12"" x 16"" Framed Art Print",,,,,,,,,0.0,shopify,deny,manual,35.00,,true,true,,,,,,,,,,,,,,,lb,,,,,,,,,,,,,,,,,,
aura-the-endless-march-copy,Aura: The Endless March,"<p class=""p1"">🌌 ‘God’s in His heaven. All’s right with the world.’ But is it really? Like fallen soldiers, our spirits rise beyond the pain, seeking purpose in the chaos. Endings or beginnings, “Human” hearts holds the key. 🖤🚀✨ </p>
<p class=""p1"">This artwork is available in <span class=""s1""><b>two premium print options</b></span>:</p>
<p class=""p1"">✨ <span class=""s1""><b>Poster Print</b></span> – A vibrant, high-quality print perfect for casual display.</p>
<p class=""p1"">✨ <span class=""s1""><b>Fine Art Print</b></span> – Printed on <span class=""s1""><b>museum-grade archival paper</b></span>, offering enhanced depth, richness, and longevity for collectors.</p>
<p class=""p2""><br></p>
<p class=""p3""><b>Limited Edition Stock:</b><b></b></p>
<p class=""p1"">🖼 <span class=""s1""><b>777 Poster Prints</b></span> – Everyday accessibility with high-end quality.</p>
<p class=""p1"">🎨 <span class=""s1""><b>77 Fine Art Prints</b></span> – A more exclusive, premium-grade offering.</p>",SuperSpec Store,Arts & Entertainment,Art Print,"art, limited edition, print",true,Size,"12"" x 12"" Poster Print",,,,,,,,Poster PRINT-8.5x11-1,199.988875933,shopify,deny,manual,20.00,20.00,true,true,,,,,,https://cdn.shopify.com/s/files/1/0578/2847/5068/files/eZyWatermark_07-01-2025_10-41-00-8910AM.jpg?v=1738784827,1,"",false,,,,,,lb,,15.00,true,,,true,,,true,,,true,,,true,,,active
aura-the-endless-march-copy,,,,,,,,,"12""x 12"" Framed Art Print",,,,,,,,Fine Art PRINT-8.5x11-1,199.988875933,shopify,deny,manual,35.00,30.00,true,true,,,,,,,,,,,,,,,lb,,15.00,,,,,,,,,,,,,,,,
aura-the-endless-march-copy,,,,,,,,,"14"" x 14"" Framed Art Print",,,,,,,,"",199.988875933,shopify,deny,manual,40.00,45.00,true,true,,,,,,,,,,,,,,,lb,,15.00,,,,,,,,,,,,,,,,
aura-the-endless-march-copy-1,Aura: Eclipse of Fate,"<p class=""p3""><i>“The eclipse is not an end, nor is it a beginning. It is a moment—a fragile instant where light and darkness exist as equals.”</i><i></i></p>
<p class=""p3"">Standing at the threshold of shadow and flame, <span class=""s1""><b>Aura</b></span> does not fear the darkness at her back, nor does she chase the light ahead. She understands what others do not—that the heart is not bound to one or the other. It is forged in the balance between them, shaped by choice, strengthened by understanding. Fate is not a path—it is a decision.</p>
<p class=""p1"">This artwork is available in <span class=""s1""><b>two premium print options</b></span>:</p>
<p class=""p1"">✨ <span class=""s1""><b>Poster Print</b></span> – A vibrant, high-quality print perfect for casual display.</p>
<p class=""p1"">✨ <span class=""s1""><b>Fine Art Print</b></span> – Printed on <span class=""s1""><b>museum-grade archival paper</b></span>, offering enhanced depth, richness, and longevity for collectors.</p>
<p class=""p2""><br></p>
<p class=""p3""><b>Limited Edition Stock:</b><b></b></p>
<p class=""p1"">🖼 <span class=""s1""><b>777 Poster Prints</b></span> – Everyday accessibility with high-end quality.</p>
<p class=""p1"">🎨 <span class=""s1""><b>77 Fine Art Prints</b></span> – A more exclusive, premium-grade offering.</p>",SuperSpec Store,Arts & Entertainment,Art Print,"art, limited edition, print",true,Size,"8.5"" x 11"" Poster Print",,,,,,,,Poster PRINT-8.5x11-1,199.988875933,shopify,deny,manual,20.00,20.00,true,true,,,,,,https://cdn.shopify.com/s/files/1/0578/2847/5068/files/eZyWatermark_07-01-2025_02-48-53-1820PM.png?v=1738785065,1,"",false,,,,,,lb,,15.00,true,,,true,,,true,,,true,,,true,,,active
aura-the-endless-march-copy-1,,,,,,,,,"8.5""x 11"" Framed Art Print",,,,,,,,Fine Art PRINT-8.5x11-1,199.988875933,shopify,deny,manual,25.00,30.00,true,true,,,,,,,,,,,,,,,lb,,15.00,,,,,,,,,,,,,,,,
aura-the-endless-march-copy-1,,,,,,,,,"12"" x 16"" Framed Art Print",,,,,,,,"",199.988875933,shopify,deny,manual,35.00,45.00,true,true,,,,,,,,,,,,,,,lb,,15.00,,,,,,,,,,,,,,,,
aura-the-endless-march-copy-2,Azure Spirit: As Pure as water,"<p class=""p1"">A woman’s essence is like water—pure, powerful, and ever-flowing. She cleanses, she nurtures, she shapes the world around her with quiet strength. Whatever she touches, she elevates. Her presence is clarity, her spirit is renewal, and her soul is the definition of purity. ✨💧</p>
<p class=""p1"">This artwork is available in <span class=""s1""><b>two premium print options</b></span>:</p>
<p class=""p1"">✨ <span class=""s1""><b>Poster Print</b></span> – A vibrant, high-quality print perfect for casual display.</p>
<p class=""p1"">✨ <span class=""s1""><b>Fine Art Print</b></span> – Printed on <span class=""s1""><b>museum-grade archival paper</b></span>, offering enhanced depth, richness, and longevity for collectors.</p>
<p class=""p2""><br></p>
<p class=""p3""><b>Limited Edition Stock:</b><b></b></p>
<p class=""p1"">🖼 <span class=""s1""><b>777 Poster Prints</b></span> – Everyday accessibility with high-end quality.</p>
<p class=""p1"">🎨 <span class=""s1""><b>77 Fine Art Prints</b></span> – A more exclusive, premium-grade offering.</p>",SuperSpec Store,Arts & Entertainment,Art Print,"art, limited edition, print",true,Size,"8.5"" x 11"" Poster Print",,,,,,,,Poster PRINT-8.5x11-1,199.988875933,shopify,deny,manual,25.00,20.00,true,true,,,,,,https://cdn.shopify.com/s/files/1/0578/2847/5068/files/eZyWatermark_28-01-2025_07-55-49-7740PM.png?v=1738785229,1,"",false,,,,,,lb,,15.00,true,,,true,,,true,,,true,,,true,,,active
aura-the-endless-march-copy-2,,,,,,,,,"8.5""x 11"" Framed Art Print",,,,,,,,Fine Art PRINT-8.5x11-1,199.988875933,shopify,deny,manual,35.00,30.00,true,true,,,,,,,,,,,,,,,lb,,15.00,,,,,,,,,,,,,,,,
aura-the-endless-march-copy-2,,,,,,,,,"12"" x 16"" Framed Art Print",,,,,,,,"",199.988875933,shopify,deny,manual,40.00,45.00,true,true,,,,,,,,,,,,,,,lb,,15.00,,,,,,,,,,,,,,,,
auras-brilliant-night-copy,Aura's Brilliant Night,"<p class=""p1"">Dreamers can only dream until the dawn whispers their name. Under the watchful eye of the moon, waiting for the sun to write new stories in golden flames and sparkles. Every heartbeat echoes a wish, every breath a silent vow—chasing what feels like stardust, but knowing this is reality…. Dreams Loading📶🌙✨</p>
<p class=""p2""><br></p>
<p class=""p1"">This artwork is available in <span class=""s1""><b>two premium print options</b></span>:</p>
<p class=""p1"">✨ <span class=""s1""><b>Poster Print</b></span> – A vibrant, high-quality print perfect for casual display.</p>
<p class=""p1"">✨ <span class=""s1""><b>Fine Art Print</b></span> – Printed on <span class=""s1""><b>museum-grade archival paper</b></span>, offering enhanced depth, richness, and longevity for collectors.</p>
<p class=""p2""><br></p>
<p class=""p3""><b>Limited Edition Stock:</b><b></b></p>
<p class=""p1"">🖼 <span class=""s1""><b>777 Poster Prints</b></span> – Everyday accessibility with high-end quality.</p>
<p class=""p1"">🎨 <span class=""s1""><b>77 Fine Art Prints</b></span> – A more exclusive, premium-grade offering.</p>",SuperSpec Store,Arts & Entertainment,Art Print,"art, limited edition, print",true,Size,"8.5"" x 11"" Poster Print",,,,,,,,Poster PRINT-8.5x11-1,199.988875933,shopify,deny,manual,20.00,20.00,true,true,,,,,,https://cdn.shopify.com/s/files/1/0578/2847/5068/files/eZyWatermark_23-01-2025_12-49-06-2260AM.png?v=1738784440,1,"",false,,,,,,lb,,15.00,true,,,true,,,true,,,true,,,true,,,active
auras-brilliant-night-copy,,,,,,,,,"8.5""x 11"" Framed Art Print",,,,,,,,Fine Art PRINT-8.5x11-1,199.988875933,shopify,deny,manual,35.00,30.00,true,true,,,,,,,,,,,,,,,lb,,15.00,,,,,,,,,,,,,,,,
auras-brilliant-night-copy,,,,,,,,,"12"" x 16"" Framed Art Print",,,,,,,,"",199.988875933,shopify,deny,manual,40.00,45.00,true,true,,,,,,,,,,,,,,,lb,,15.00,,,,,,,,,,,,,,,,
copy-of-copy-of-copy-of-draft,Super Angel Wings,"<ul data-mce-fragment=""1"">
<li data-mce-fragment=""1"">Imported</li>
<li data-mce-fragment=""1"">SUPER soft touch Tee</li>
<li data-mce-fragment=""1"">4.3 oz., 60/40 combed ringspun cotton/polyester</li>
<li data-mce-fragment=""1"">Fabric laundered</li>
<li data-mce-fragment=""1"">Side seams<img src=""https://cdn.shopify.com/s/files/1/0578/2847/5068/files/Fit_Chart_480x480.jpg?v=1625705492"" alt="""" data-mce-fragment=""1"" data-mce-src=""https://cdn.shopify.com/s/files/1/0578/2847/5068/files/Fit_Chart_480x480.jpg?v=1625705492"">
</li>
</ul>",SUPER Spec.,,Clothing,"",true,Size,XS,,Color,Black,,Material,Red Holo,,,144.5825679375,,continue,manual,25.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0578/2847/5068/products/PhotoSep30_102011PM.png?v=1633067930,1,"",false,,,,,,oz,,,true,,,true,,,true,,,true,,,true,,,active
copy-of-copy-of-copy-of-draft,,,,,,,,,XS,,,Black,,,Orange Holo,,,144.5825679375,,continue,manual,25.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0578/2847/5068/products/PhotoSep30_102059PM.png?v=1633067930,2,"",,,,,,,oz,,,,,,,,,,,,,,,,,,
copy-of-copy-of-copy-of-draft,,,,,,,,,XS,,,Black,,,Yellow Holo,,,144.5825679375,,continue,manual,25.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0578/2847/5068/products/PhotoSep30_101220PM.png?v=1633067930,3,"",,,,,,,oz,,,,,,,,,,,,,,,,,,
copy-of-copy-of-copy-of-draft,,,,,,,,,XS,,,Black,,,Green Holo,,,144.5825679375,,continue,manual,25.00,,true,true,,,,,,,,,,,,,,,oz,,,,,,,,,,,,,,,,,,
copy-of-copy-of-copy-of-draft,,,,,,,,,XS,,,Black,,,Blue (Light Blue) Holo,,,144.5825679375,,continue,manual,25.00,,true,true,,,,,,,,,,,,,,,oz,,,,,,,,,,,,,,,,,,
copy-of-copy-of-copy-of-draft,,,,,,,,,XS,,,Black,,,Indigo (Deep Blue) Holo,,,144.5825679375,,continue,manual,25.00,,true,true,,,,,,,,,,,,,,,oz,,,,,,,,,,,,,,,,,,
copy-of-copy-of-copy-of-draft,,,,,,,,,XS,,,Black,,,Violet Holo,,,144.5825679375,,continue,manual,25.00,,true,true,,,,,,,,,,,,,,,oz,,,,,,,,,,,,,,,,,,
copy-of-copy-of-copy-of-draft,,,,,,,,,XS,,,Black,,,Pink Holo,,,144.5825679375,,continue,manual,25.00,,true,true,,,,,,,,,,,,,,,oz,,,,,,,,,,,,,,,,,,
copy-of-copy-of-copy-of-draft,,,,,,,,,XS,,,Black,,,Silver Holo,,,144.5825679375,,continue,manual,25.00,,true,true,,,,,,,,,,,,,,,oz,,,,,,,,,,,,,,,,,,
copy-of-copy-of-copy-of-draft,,,,,,,,,XS,,,Black,,,Black Holo,,,144.5825679375,,continue,manual,25.00,,true,true,,,,,,,,,,,,,,,oz,,,,,,,,,,,,,,,,,,
copy-of-copy-of-copy-of-draft,,,,,,,,,XS,,,White,,,Red Holo,,,144.5825679375,,continue,manual,25.00,,true,true,,,,,,,,,,,,,,,oz,,,,,,,,,,,,,,,,,,
copy-of-copy-of-copy-of-draft,,,,,,,,,XS,,,White,,,Orange Holo,,,144.5825679375,,continue,manual,25.00,,true,true,,,,,,,,,,,,,,,oz,,,,,,,,,,,,,,,,,,
copy-of-copy-of-copy-of-draft,,,,,,,,,XS,,,White,,,Yellow Holo,,,144.5825679375,,continue,manual,25.00,,true,true,,,,,,,,,,,,,,,oz,,,,,,,,,,,,,,,,,,
copy-of-copy-of-copy-of-draft,,,,,,,,,XS,,,White,,,Green Holo,,,144.5825679375,,continue,manual,25.00,,true,true,,,,,,,,,,,,,,,oz,,,,,,,,,,,,,,,,,,
copy-of-copy-of-copy-of-draft,,,,,,,,,XS,,,White,,,Blue (Light Blue) Holo,,,144.5825679375,,continue,manual,25.00,,true,true,,,,,,,,,,,,,,,oz,,,,,,,,,,,,,,,,,,
copy-of-copy-of-copy-of-draft,,,,,,,,,XS,,,White,,,Indigo (Deep Blue) Holo,,,144.5825679375,,continue,manual,25.00,,true,true,,,,,,,,,,,,,,,oz,,,,,,,,,,,,,,,,,,
copy-of-copy-of-copy-of-draft,,,,,,,,,XS,,,White,,,Violet Holo,,,144.5825679375,,continue,manual,25.00,,true,true,,,,,,,,,,,,,,,oz,,,,,,,,,,,,,,,,,,
copy-of-copy-of-copy-of-draft,,,,,,,,,XS,,,White,,,Pink Holo,,,144.5825679375,,continue,manual,25.00,,true,true,,,,,,,,,,,,,,,oz,,,,,,,,,,,,,,,,,,
copy-of-copy-of-copy-of-draft,,,,,,,,,XS,,,White,,,Silver Holo,,,144.5825679375,,continue,manual,25.00,,true,true,,,,,,,,,,,,,,,oz,,,,,,,,,,,,,,,,,,
copy-of-copy-of-copy-of-draft,,,,,,,,,XS,,,White,,,Black Holo,,,144.5825679375,,continue,manual,25.00,,true,true,,,,,,,,,,,,,,,oz,,,,,,,,,,,,,,,,,,
copy-of-copy-of-copy-of-draft,,,,,,,,,S,,,Black,,,Red Holo,,,144.5825679375,,continue,manual,25.00,,true,true,,,,,,,,,,,,,,,oz,,,,,,,,,,,,,,,,,,
copy-of-copy-of-copy-of-draft,,,,,,,,,S,,,Black,,,Orange Holo,,,144.5825679375,,continue,manual,25.00,,true,true,,,,,,,,,,,,,,,oz,,,,,,,,,,,,,,,,,,
copy-of-copy-of-copy-of-draft,,,,,,,,,S,,,Black,,,Yellow Holo,,,144.5825679375,,continue,manual,25.00,,true,true,,,,,,,,,,,,,,,oz,,,,,,,,,,,,,,,,,,
copy-of-copy-of-copy-of-draft,,,,,,,,,S,,,Black,,,Green Holo,,,144.5825679375,,continue,manual,25.00,,true,true,,,,,,,,,,,,,,,oz,,,,,,,,,,,,,,,,,,
copy-of-copy-of-copy-of-draft,,,,,,,,,S,,,Black,,,Blue (Light Blue) Holo,,,144.5825679375,,continue,manual,25.00,,true,true,,,,,,,,,,,,,,,oz,,,,,,,,,,,,,,,,,,
copy-of-copy-of-copy-of-draft,,,,,,,,,S,,,Black,,,Indigo (Deep Blue) Holo,,,144.5825679375,,continue,manual,25.00,,true,true,,,,,,,,,,,,,,,oz,,,,,,,,,,,,,,,,,,
copy-of-copy-of-copy-of-draft,,,,,,,,,S,,,Black,,,Violet Holo,,,144.5825679375,,continue,manual,25.00,,true,true,,,,,,,,,,,,,,,oz,,,,,,,,,,,,,,,,,,
copy-of-copy-of-copy-of-draft,,,,,,,,,S,,,Black,,,Pink Holo,,,144.5825679375,,continue,manual,25.00,,true,true,,,,,,,,,,,,,,,oz,,,,,,,,,,,,,,,,,,
copy-of-copy-of-copy-of-draft,,,,,,,,,S,,,Black,,,Silver Holo,,,144.5825679375,,continue,manual,25.00,,true,true,,,,,,,,,,,,,,,oz,,,,,,,,,,,,,,,,,,
copy-of-copy-of-copy-of-draft,,,,,,,,,S,,,Black,,,Black Holo,,,144.5825679375,,continue,manual,25.00,,true,true,,,,,,,,,,,,,,,oz,,,,,,,,,,,,,,,,,,
copy-of-copy-of-copy-of-draft,,,,,,,,,S,,,White,,,Red Holo,,,144.5825679375,,continue,manual,25.00,,true,true,,,,,,,,,,,,,,,oz,,,,,,,,,,,,,,,,,,
